theta_rz_0,theta_rz_1,theta_rz_2,theta_rz_3,theta_rz_4,theta_rz_5,theta_rz_6,theta_rz_7,theta_rz_8,theta_rz_9
193.2471502,193.2103513,193.2471502,192.4538668,193.251721,172.0654356,28.86155063,193.26705,192.4538668,193.2471502
193.2432912,193.2065676,193.2432912,192.5150161,193.2478526,172.0631824,28.85910162,193.2631502,192.5150161,193.2432912
193.2406463,193.2039971,193.2406463,192.576154,193.2451985,172.0617666,28.85741571,193.2606432,192.576154,193.2406463
193.236795,193.2002207,193.236795,192.6372802,193.2413378,172.0595218,28.85497264,193.2567501,192.6372802,193.236795
193.2341633,193.1976631,193.2341633,192.698395,193.2386969,172.058117,28.85329487,193.254256,192.698395,193.2341633
193.2315313,193.195105,193.2315313,192.7594983,193.2360557,172.0567137,28.85161814,193.2517605,192.7594983,193.2315313
193.2289046,193.1925521,193.2289046,192.8205901,193.2334199,172.0553146,28.84994473,193.2492701,192.8205901,193.2289046
193.2250773,193.1887991,193.2250773,192.8816705,193.2295833,172.0530894,28.84751645,193.2454002,192.8816705,193.2250773
193.2212635,193.1850595,193.2212635,192.9345862,193.2257603,172.0508735,28.84509522,193.2415448,192.9345862,193.2212635
193.1197412,193.083428,193.1197412,192.8325791,193.1242516,171.9238867,28.71832519,193.1400837,192.8325791,193.1197412
193.0182065,192.9817844,193.0182065,192.7305607,193.0227304,171.7968901,28.59154102,193.03861,192.7305607,193.0182065
193.2092181,193.1732377,193.2092181,192.6285309,193.2136871,172.043993,28.83760809,193.229374,192.6285309,193.2092181
193.2131556,193.1772423,193.2131556,192.5264898,193.2201137,172.046943,28.83990148,193.2332739,192.5264898,193.2131556
